,Sentence,scores,compound,pos,neg,type
624,Finnish forest machinery manufacturer Ponsse has issued a profit warning .,"{'neg': 0.195, 'neu': 0.569, 'pos': 0.236, 'compound': 0.128}",0.128,0.236,0.195,POS
625,Filmiteollisuus Fine Ab will be transferred to Talentum Oyj in the form of a subsidiary .,"{'neg': 0.0, 'neu': 0.878, 'pos': 0.122, 'compound': 0.2023}",0.2023,0.122,0.0,POS
626,Olli-Pekka Laine has been appointed as the Chairman and Erkki Pehu-Lehtonen as the Vice Chairman of the Board .,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,NEUTRAL
627,Affecto has participated in the program for the development of the Norwegian pension system since 2007 .,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,NEUTRAL
628,It estimates the operating profit to further improve from the third quarter .,"{'neg': 0.0, 'neu': 0.633, 'pos': 0.367, 'compound': 0.7003}",0.7003,0.367,0.0,POS
629,"Proha Plc ( Euronext :7327 ) announced today ( 19 May ) that its fully-owned subsidiary , Safran Software Solutions AS , has agreed to sell its 49 % share of Safran North America LLC to a SNA Holding AS , an investment group based in Norway .","{'neg': 0.0, 'neu': 0.854, 'pos': 0.146, 'compound': 0.6124}",0.6124,0.146,0.0,POS
630,Tesco sales recover as focus returns to core business,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,NEUTRAL
631,"However , the company saw its net profit for the third quarter down to EUR 1.4 million from EUR 1.5 million for the corresponding period of 2009 .","{'neg': 0.0, 'neu': 0.896, 'pos': 0.104, 'compound': 0.4404}",0.4404,0.104,0.0,POS
632,The production is to be liquidated before June 2009 and 325 employees loose their jobs .,"{'neg': 0.141, 'neu': 0.859, 'pos': 0.0, 'compound': -0.3182}",-0.3182,0.0,0.141,NEG
633,Danske Bank is Denmark 's largest bank with 3.5 million customers .,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,NEUTRAL
634,"Protalix closed at $ 10.71 on Friday on the American Stock Exchange , giving a market cap of $ 827 million .","{'neg': 0.0, 'neu': 0.87, 'pos': 0.13, 'compound': 0.34}",0.34,0.13,0.0,POS
635,Net sales decreased to EUR 91.6 mn from EUR 109mn in the corresponding period in 2005 .,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,NEUTRAL
636,"The most interesting export markets will be Russia , the Baltic countries and Scandinavia .","{'neg': 0.0, 'neu': 0.8, 'pos': 0.2, 'compound': 0.4576}",0.4576,0.2,0.0,POS
637,The actions are expected to deliver annual cost savings of some EUR15-20m .,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,NEUTRAL
638,"Nordea Bank AB publ holds 6.000 Alma Media shares , representing 0.008 % of share capital and voting rights .","{'neg': 0.0, 'neu': 0.773, 'pos': 0.227, 'compound': 0.5267}",0.5267,0.227,0.0,POS
639,Eli Lilly & Co. (LLY) Has Broken Out To A New High On AstraZeneca Collaboration,"{'neg': 0.205, 'neu': 0.795, 'pos': 0.0, 'compound': -0.4767}",-0.4767,0.0,0.205,NEG
640,"The chilled meat products category led the meat , fish and poultry market in Finland , accounting for a share of 31.4 % .","{'neg': 0.0, 'neu': 0.891, 'pos': 0.109, 'compound': 0.296}",0.296,0.109,0.0,POS
641,"- The Group -¦ s cumulative sales during the review period were EUR 48.2 million EUR 53.1 million , 1-9/2007 and profit before taxes was EUR 1.2 1.4 million .","{'neg': 0.0, 'neu': 0.896, 'pos': 0.104, 'compound': 0.4404}",0.4404,0.104,0.0,POS
642,Aldata to Share Space Optimization Vision at Apollo User Group and 2009 Category Management Association Conferences ; Company Will Unveil New Solution that Combines Business Intelligence with Space Planning Data at Conferences,"{'neg': 0.0, 'neu': 0.681, 'pos': 0.319, 'compound': 0.8807}",0.8807,0.319,0.0,POS
643,Net sales of the Lehdentekijat unit was approximately EUR 14 million in 2007 and it had 70 employees .,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,NEUTRAL
644,$LSCC Accumulation chart continues to make new highs showing accumulation continuing to take place http://stks.co/aDpO,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,NEUTRAL
645,"The business area has operations in Finland , Sweden , Denmark , Estonia , Latvia and Lithuania .","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,NEUTRAL
646,Sports equipment sales also progressed well owing to the prolonged winter season .,"{'neg': 0.0, 'neu': 0.84, 'pos': 0.16, 'compound': 0.2732}",0.2732,0.16,0.0,POS
647,"Also , Westpac is to issue a benchmark , 18 month FRN deal in Euros .","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,NEUTRAL
648,"It is the last smartphone running Maemo 5 , which is to be replaced with MeeGo , a joint project between Nokia , Intel and the open source community .","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,NEUTRAL
649,pretty steady accumulation off support today.  Purdy. $AGU,"{'neg': 0.0, 'neu': 0.504, 'pos': 0.496, 'compound': 0.7096}",0.7096,0.496,0.0,POS
650,`` Serving customers locally is one of the cornerstones of customer focus for us .,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,NEUTRAL
651,"`` We cut our frequency to New York last year , which explains the fall , '' he said .","{'neg': 0.116, 'neu': 0.884, 'pos': 0.0, 'compound': -0.2732}",-0.2732,0.0,0.116,NEG
652,"$HSC Receives 7-Year, $50M Contract at New Saudi Arabian Steel Mill","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,NEUTRAL
653,Operating result including non-recurring items rose to EUR 146mn from a loss of EUR 267mn in 2009 .,"{'neg': 0.133, 'neu': 0.867, 'pos': 0.0, 'compound': -0.3182}",-0.3182,0.0,0.133,NEG
654,"Both operating profit and net sales for the three-month period increased , respectively from EUR15 .1 m and EUR131 .5 m , as compared to the corresponding period in 2005 .","{'neg': 0.0, 'neu': 0.757, 'pos': 0.243, 'compound': 0.7506}",0.7506,0.243,0.0,POS
655,Around 250 of these reductions will be implemented through pension arrangements .,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,NEUTRAL
656,Sainsbury's says to outperform rivals in tough market,"{'neg': 0.176, 'neu': 0.824, 'pos': 0.0, 'compound': -0.128}",-0.128,0.0,0.176,NEG
657,Finnish Outokumpu Technology has been awarded several new grinding technology contracts .,"{'neg': 0.0, 'neu': 0.787, 'pos': 0.213, 'compound': 0.4019}",0.4019,0.213,0.0,POS
658,Starbucks' Digital Strategy To Drive Significant Growth With Customer Loyalty $SBUX https://t.co/Xk6lZ3UI3K,"{'neg': 0.0, 'neu': 0.533, 'pos': 0.467, 'compound': 0.7845}",0.7845,0.467,0.0,POS
659,Margin call of Zanadvorov has given the chance to make such purchase under the credit of Deutsche Bank for USD 560 million .,"{'neg': 0.0, 'neu': 0.813, 'pos': 0.187, 'compound': 0.5574}",0.5574,0.187,0.0,POS
660,The soapstone deposits in the Medvezhyegorsk area are expected to increase Tulikivi 's current reserves considerably .,"{'neg': 0.0, 'neu': 0.867, 'pos': 0.133, 'compound': 0.3182}",0.3182,0.133,0.0,POS
661,"He answers questions on how many visitors Conversations gets , how big the team is and what the problems are when setting up social media channels .","{'neg': 0.101, 'neu': 0.899, 'pos': 0.0, 'compound': -0.4019}",-0.4019,0.0,0.101,NEG
662,Hargreaves Lansdown share price falls as costs mount - although pensions ...,"{'neg': 0.0, 'neu': 0.82, 'pos': 0.18, 'compound': 0.296}",0.296,0.18,0.0,POS
663,"PRESS: Serco Set To Appoint Roy Gardner, Ex-Centrica, As Chairman - FT","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,NEUTRAL
664,InterContinental Hotels Denies Reports of Starwood Merger Talks,"{'neg': 0.286, 'neu': 0.714, 'pos': 0.0, 'compound': -0.4215}",-0.4215,0.0,0.286,NEG
665,Commencing the construction works of Pearl Plaza is a significant step in our Russian projects .,"{'neg': 0.0, 'neu': 0.878, 'pos': 0.122, 'compound': 0.2023}",0.2023,0.122,0.0,POS
666,"With this acquisition the wireless modem unit and its approximately 1,100 employees were transferred to Renesas Electronics Corporation .","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,NEUTRAL
667,`` The announced investment of the carmaker Hyundai for example sounds optimistically for us as of course new cars mean new tires . '',"{'neg': 0.0, 'neu': 0.876, 'pos': 0.124, 'compound': 0.4767}",0.4767,0.124,0.0,POS
668,"According to ACNielsen 's ScanTrack study for the period week 10 of 2005 to week 9 of 2006 , Coca-Cola is the market leader in soft drinks in Finland .","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,NEUTRAL
669,$YMI http://stks.co/Xyf Long setup. Closed above the 20MA. MACD cross. November catalyst.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,NEUTRAL
670,"UPDATE 3-BP settles oil spill-related claims with Halliburton, Transocean","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,NEUTRAL
671,"The contracts awarded to date , in connection with the system , amount to a total EUR 36 million .","{'neg': 0.0, 'neu': 0.847, 'pos': 0.153, 'compound': 0.4019}",0.4019,0.153,0.0,POS
672,"Because expenditures must be justified to pass budget approval hurdles , we believe our RoP model can help make it easier for IT and IT security practitioners to make the business case for acquiring enabling security technologies and related control activities .","{'neg': 0.0, 'neu': 0.679, 'pos': 0.321, 'compound': 0.9337}",0.9337,0.321,0.0,POS
673,The Coca-Cola Company and Coca-Cola FEMSA to Acquire AdeS Soy-Based Beverage Business From Unilever,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,NEUTRAL
674,"We are honored to be acknowledged for our commitment to the industry , especially in Asia Pacific . ''","{'neg': 0.0, 'neu': 0.701, 'pos': 0.299, 'compound': 0.7506}",0.7506,0.299,0.0,POS
675,"An  of the invention , released by the Patent Office , said : `` The chambers are pressurized .","{'neg': 0.0, 'neu': 0.927, 'pos': 0.073, 'compound': 0.0258}",0.0258,0.073,0.0,POS
676,"In the Baltic countries , sales fell by 42.6 % .","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,NEUTRAL
677,"However , sales volumes in the food industry are expected to remain at relatively good levels in Finland and in Scandinavia , Atria said .","{'neg': 0.0, 'neu': 0.879, 'pos': 0.121, 'compound': 0.4404}",0.4404,0.121,0.0,POS
678,"The mill 's raw material need will increase by 100,000 m3 of wood .","{'neg': 0.0, 'neu': 0.839, 'pos': 0.161, 'compound': 0.3182}",0.3182,0.161,0.0,POS
679,"Outotec , headquartered in Espoo , Finland , is a leading provider of process solutions , technologies and services for the mining and metallurgical industries .","{'neg': 0.0, 'neu': 0.918, 'pos': 0.082, 'compound': 0.1779}",0.1779,0.082,0.0,POS
680,"The one dark spot on the horizon , however , was the company 's performance in the Finnish bottled water market .","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,NEUTRAL
681,Current holdings via options - Long: $AAPL $V $GS $AET & Short: $VXX,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,NEUTRAL
682,"The process , technology , project management , basic engineering and quality assurance within Forest Industry will be consolidated in Vantaa , southern Finland .","{'neg': 0.0, 'neu': 0.888, 'pos': 0.112, 'compound': 0.34}",0.34,0.112,0.0,POS
683,$PCLN runs into the 50sma on the acquisition news,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,NEUTRAL
684,"Vaahto Pulp & Paper , of Finnish Vaahto Group , has been awarded an order to renovate Finnish-Swedish forest industry company Stora Enso 's paperboard machine at the Ingerois Board Mill in Finland .","{'neg': 0.0, 'neu': 0.915, 'pos': 0.085, 'compound': 0.4019}",0.4019,0.085,0.0,POS
685,Nokia was up 0.12 pct to 16.70 eur after kicking off the morning in negative territory .,"{'neg': 0.198, 'neu': 0.802, 'pos': 0.0, 'compound': -0.5719}",-0.5719,0.0,0.198,NEG
686,$TZA is a rocket ship!!!,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,NEUTRAL
687,"Finnish IT solutions provider Affecto Oyj said today that it has won a frame contract , valued at some EUR2m , to implement the next phase of its insurance application for South African Mutual & Federal Insurance Company Limited M&F .","{'neg': 0.045, 'neu': 0.758, 'pos': 0.197, 'compound': 0.7506}",0.7506,0.197,0.045,POS
688,Industry Investment is very interested in Glaston 's solar energy projects .,"{'neg': 0.0, 'neu': 0.639, 'pos': 0.361, 'compound': 0.624}",0.624,0.361,0.0,POS
689,The winner does not have to be present to win .,"{'neg': 0.0, 'neu': 0.513, 'pos': 0.487, 'compound': 0.8225}",0.8225,0.487,0.0,POS
690,Scanfil will execute the temporary lay-offs by mid-October 2009 and the job cuts by March 2010 .,"{'neg': 0.128, 'neu': 0.872, 'pos': 0.0, 'compound': -0.296}",-0.296,0.0,0.128,NEG
691,"Furthermore , our fully electrically driven cranes are environmentally friendly .","{'neg': 0.0, 'neu': 0.714, 'pos': 0.286, 'compound': 0.4939}",0.4939,0.286,0.0,POS
692,Finnish-Swedish TietoEnator is expanding its business quickly in Russia .,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,NEUTRAL
693,It is estimated that the consolidated turnover of Kausta Guder will reach Lt 53mn US$ 22.53 mn EUR 15.35 mn in 2007 .,"{'neg': 0.0, 'neu': 0.95, 'pos': 0.05, 'compound': 0.0258}",0.0258,0.05,0.0,POS
694,Added more $BBBY @jimcramer is wrong about this one. Still a very profitable merchant with profitable stores,"{'neg': 0.138, 'neu': 0.578, 'pos': 0.284, 'compound': 0.5083}",0.5083,0.284,0.138,POS
695,"Rinkuskiai 's beer sales fell by 6.5 per cent to 4.16 million litres , while Kauno Alus ' beer sales jumped by 6.9 per cent to 2.48 million litres .","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,NEUTRAL
696,"INTERNET BUSINESS NEWS - -® 1995-2006 M2 COMMUNICATIONS LTD As part of a drive to protect users of its Internet banking service , Barclays Bank has announced that it is to recommend F-Secure Internet Security to its customers .","{'neg': 0.0, 'neu': 0.81, 'pos': 0.19, 'compound': 0.7579}",0.7579,0.19,0.0,POS
697,Halonen 's office acknowledged receiving the letter but declined comment .,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,NEUTRAL
698,"Boomeranger Boats Oy specialises in boat building and designs , manufactures and sells customised Rigid Inflatable Boats RIB primarily for the Baltic Sea market .","{'neg': 0.064, 'neu': 0.936, 'pos': 0.0, 'compound': -0.128}",-0.128,0.0,0.064,NEG
699,The fair value of the company 's investment properties grew to EUR 2.803 billion at the end of March 2009 from EUR 2.691 million a year ago .,"{'neg': 0.0, 'neu': 0.836, 'pos': 0.164, 'compound': 0.5719}",0.5719,0.164,0.0,POS
700,"`` We reached agreement with the union that flights will continue as normal , '' Finnair spokesman Usko Maatta said .","{'neg': 0.0, 'neu': 0.787, 'pos': 0.213, 'compound': 0.5574}",0.5574,0.213,0.0,POS
701,$OSUR up 33% since 6/25 buy signal. resistance 5.33 - expect 1. pullback 2nd half of day or 2. break abov 5.33 & continue rally for 4-5 days,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,NEUTRAL
702,"The company had net sales of EUR 10.8 million in 2008 , and today has approximately 120 employees in Finland , Estonia and Poland .","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,NEUTRAL
703,"The broker highlights Cargotec as its preferred stock in the sector , as it is a pure play on global cargo and container handling , and it expects it to play an active role in further consolidating the industry .","{'neg': 0.0, 'neu': 0.815, 'pos': 0.185, 'compound': 0.7579}",0.7579,0.185,0.0,POS
704,The combined capital of these funds is expected to be EUR 100mn-150mn .,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,NEUTRAL
705,"The total headcount reduction will be 50 persons , the company said .","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,NEUTRAL
706,The aim is to develop open-source application solutions .,"{'neg': 0.0, 'neu': 0.805, 'pos': 0.195, 'compound': 0.1779}",0.1779,0.195,0.0,POS
707,The net sales of the whole fiscal year 2008 will be lower than in 2007 and operating profit is estimated to be negative .,"{'neg': 0.205, 'neu': 0.694, 'pos': 0.101, 'compound': -0.4588}",-0.4588,0.101,0.205,NEG
708,"The contract consists of a new building with an area of 18,000 sq m and renovation of the existing buildings .","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,NEUTRAL
709,Retailers Kingfisher and Sports Direct rise in Britain's share index,"{'neg': 0.0, 'neu': 0.804, 'pos': 0.196, 'compound': 0.296}",0.296,0.196,0.0,POS
710,Persimmon share price climbs on 23% rise in full-year revenue,"{'neg': 0.0, 'neu': 0.804, 'pos': 0.196, 'compound': 0.296}",0.296,0.196,0.0,POS
711,"To check them out or to make a bid they will be in the Deka Showroom , Fortitude Valley .","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,NEUTRAL
712,"The new facility , to be known as Technopolis Pulkovo , will introduce to the Russian market an entirely new concept of creating , operating and growing a commercially-funded science and technology park to support the growth of knowledge-intensive companies .","{'neg': 0.0, 'neu': 0.777, 'pos': 0.223, 'compound': 0.802}",0.802,0.223,0.0,POS
713,Tesco's Sales Pickup Isn't Enough,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,NEUTRAL
714,$TRIP maintains Neutral rating at JP Morgan- PT cut $61 from $66,"{'neg': 0.144, 'neu': 0.683, 'pos': 0.173, 'compound': 0.1111}",0.1111,0.173,0.144,POS
715,"The poorest index figure was given to Finnish power company Fortum , 4.5 .","{'neg': 0.241, 'neu': 0.759, 'pos': 0.0, 'compound': -0.5423}",-0.5423,0.0,0.241,NEG
716,The extracted filtrates are very high in clarity while the dried filter cakes meet required transport moisture limits (TMLs)for their ore grades .,"{'neg': 0.0, 'neu': 0.876, 'pos': 0.124, 'compound': 0.4522}",0.4522,0.124,0.0,POS
717,"` This order is included in Wartsila 's order book in the second quarter , ' the company added .","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,NEUTRAL
718,The company also said that the deployment of the Danish 4G network continues and it expects to cover 75 % of the Danish population in 2011 .,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,NEUTRAL
719,"The disposal of Autotank will also strengthen Aspo 's capital structure , '' commented Gustav Nyberg , CEO of Aspo .","{'neg': 0.0, 'neu': 0.881, 'pos': 0.119, 'compound': 0.3182}",0.3182,0.119,0.0,POS
720,"Micron Technology Inc #NASDAQ: $MU down 2.3% today and down 8.9% since being put on ""The Short"" https://t.co/EQQLTfUiOU","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,NEUTRAL
721,Finnish laboratory liquid handling and diagnostic test systems developer Biohit Oyj OMX Helsinki : BIOBV issued on Tuesday 3 June a profit warning for the financial year 2008 .,"{'neg': 0.085, 'neu': 0.813, 'pos': 0.102, 'compound': 0.128}",0.128,0.102,0.085,POS
722,"`` I 'm pleased to receive the Nomination Committee 's request and confidence , '' says Jon Risfelt .","{'neg': 0.0, 'neu': 0.693, 'pos': 0.307, 'compound': 0.7351}",0.7351,0.307,0.0,POS
723,"$AAPL Stock Climbs as Barron's Sees 40% Upside, Jim Cramer's Take  https://t.co/lKlD9mVKBQ","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,NEUTRAL
724,"The company also said on November 16 , 2006 its Real Estate Fund I Ky signed an agreement with Finnish window maker Fenestra Oy to build a window plant in Forssa , southern Finland .","{'neg': 0.0, 'neu': 0.901, 'pos': 0.099, 'compound': 0.4939}",0.4939,0.099,0.0,POS
725,"In the third quarter , net sales increased by 12 % year-on-year to EUR 159.5 million , or by 6 % at comparable currency rates growth .","{'neg': 0.0, 'neu': 0.802, 'pos': 0.198, 'compound': 0.5719}",0.5719,0.198,0.0,POS
726,ITV to pursue takeover of Canada's Entertainment One: Bloomberg,"{'neg': 0.0, 'neu': 0.741, 'pos': 0.259, 'compound': 0.4215}",0.4215,0.259,0.0,POS
727,"Cramo is a service company specialising in construction machinery and equipment rental and rental-related services , as well as the rental and sale of modular space .","{'neg': 0.0, 'neu': 0.916, 'pos': 0.084, 'compound': 0.2732}",0.2732,0.084,0.0,POS
728,"Depending on the market situation , such projects are sold after 1 to 3 years after completion .","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,NEUTRAL
729,AstraZeneca weighing up Acerta bid to secure blood cancer drug,"{'neg': 0.297, 'neu': 0.541, 'pos': 0.162, 'compound': -0.4588}",-0.4588,0.162,0.297,NEG
730,$HRL ready to pop! http://stks.co/s0Ny4,"{'neg': 0.0, 'neu': 0.589, 'pos': 0.411, 'compound': 0.4199}",0.4199,0.411,0.0,POS
731,News FeedFTSE 100 movers: LSE surges as ICE says mulling offer; Ashtead and Barclays tank,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,NEUTRAL
732,Elcoteq SE is Europe 's largest contract electronics maker and has set up a unit in Bangalore in association with Avista Advisory of Mumbai .,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,NEUTRAL
733,"Sales VAT inclusive expanded by 19 percent , to 351 million euros .","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,NEUTRAL
734,Operating profit increased by 145.1 % to EUR 8.3 mn from EUR 3.4 mn .,"{'neg': 0.0, 'neu': 0.688, 'pos': 0.312, 'compound': 0.6124}",0.6124,0.312,0.0,POS
735,"ALEXANDRIA , Va. , Dec. 19 -- United States Patent no. 7,853,620 , issued on Dec. 14 , was assigned to Nokia Corp. ( Espoo , Finland ) .","{'neg': 0.092, 'neu': 0.792, 'pos': 0.117, 'compound': 0.1531}",0.1531,0.117,0.092,POS
736,Country : ; Germany Sector : Construction-Real Estate ; Machinery-Engineering Target : Caverion GmbH Buyer : YIT Oyj Deal size in USD : 90.3 m Type : Corporate acquisition Status : Agreed,"{'neg': 0.0, 'neu': 0.909, 'pos': 0.091, 'compound': 0.2732}",0.2732,0.091,0.0,POS
737,$AMRN It's accumulating. I think buy now or hold your peace. This should go up today/tomorrow.,"{'neg': 0.0, 'neu': 0.8, 'pos': 0.2, 'compound': 0.5423}",0.5423,0.2,0.0,POS
738,Operating profit rose to EUR 3.11 mn from EUR 1.22 mn in the corresponding period in 2009 .,"{'neg': 0.0, 'neu': 0.847, 'pos': 0.153, 'compound': 0.4404}",0.4404,0.153,0.0,POS
739,Last year SysOpen Digia invested in IBM product know-how in the building of portal and trading place systems and successfully implemented customer solutions supported by it .,"{'neg': 0.0, 'neu': 0.762, 'pos': 0.238, 'compound': 0.7351}",0.7351,0.238,0.0,POS
740,"( ADP News ) - Feb 4 , 2009 - Finnish broadband data communication systems and solutions company Teleste Oyj ( HEL : TLT1V ) said today its net profit decreased to EUR 5.5 million ( USD 7.2 m ) for 2008 from EUR 9.4 million for 200","{'neg': 0.0, 'neu': 0.881, 'pos': 0.119, 'compound': 0.5574}",0.5574,0.119,0.0,POS
741,An earn-out payment of up to 4.0 mln euro ( $ 5.3 mln ) can also be paid depending on Intellibis financial performance in 2007 .,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,NEUTRAL
742,"The currency effect had a 3.0 pct , or 20 mln euro ( $ 31.3 mln ) , negative impact on the revenue .","{'neg': 0.188, 'neu': 0.812, 'pos': 0.0, 'compound': -0.5719}",-0.5719,0.0,0.188,NEG
743,"Only L+ñnnen Tehtaat showed a loss , but it has only recently started streamlining measures .","{'neg': 0.121, 'neu': 0.879, 'pos': 0.0, 'compound': -0.1655}",-0.1655,0.0,0.121,NEG
744,18:30 Dinner The conference program can also be viewed as a live audio webcast through the internet pages at www.citycon.com .,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,NEUTRAL
745,Operating profit margin increased from 11.2 % to 11.7 % .,"{'neg': 0.0, 'neu': 0.545, 'pos': 0.455, 'compound': 0.6124}",0.6124,0.455,0.0,POS
746,"Operating profit totalled EUR 1.22 mn , down from EUR 3.56 mn in the first quarter of 2008 .","{'neg': 0.0, 'neu': 0.847, 'pos': 0.153, 'compound': 0.4404}",0.4404,0.153,0.0,POS
747,"Founded in 1985 , Quatrocon 's clientele consists of public sector builders , central trading companies and major construction firms .","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,NEUTRAL
748,"$RUSS Don't catch falling knives, but I think an entry is coming soon on this","{'neg': 0.0, 'neu': 0.914, 'pos': 0.086, 'compound': 0.0572}",0.0572,0.086,0.0,POS
749,"The company 's profit before taxes fell to EUR 21.1 mn in the third quarter of 2008 , compared to EUR 35.8 mn in the corresponding period in 2007 .","{'neg': 0.0, 'neu': 0.903, 'pos': 0.097, 'compound': 0.4404}",0.4404,0.097,0.0,POS
750,"Russian officials inspected the damage and gave the vessel permission to continue to Tallinn at around 4.30 a.m. The Norwegian-registered M-T Sten Nordic was carrying 11,000 tons of gas oil and was manned by a Filipino crew .","{'neg': 0.084, 'neu': 0.916, 'pos': 0.0, 'compound': -0.4939}",-0.4939,0.0,0.084,NEG
751,The maritime administration said the ships had ignored warnings about the icy conditions .,"{'neg': 0.29, 'neu': 0.71, 'pos': 0.0, 'compound': -0.5423}",-0.5423,0.0,0.29,NEG
752,"$WFM Bought a little yesterday, hoping for an earnings pop.","{'neg': 0.0, 'neu': 0.76, 'pos': 0.24, 'compound': 0.3657}",0.3657,0.24,0.0,POS
753,"The German company has also signed a code share agreement with another Oneworld member -- American Airlines Inc , part of US-based AMR Corp ( NYSE : AMR ) .","{'neg': 0.0, 'neu': 0.803, 'pos': 0.197, 'compound': 0.6597}",0.6597,0.197,0.0,POS
754,Odell has not contacted the State of Finland in this issue .,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,NEUTRAL
755,Borealis Infrastructure putting together new Severn Trent bid,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,NEUTRAL
756,"This order , when delivered , will bring the total output of electricity in Italy generated by Wartsila equipment to more than 1,300 MW .","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,NEUTRAL
